participant_ID,condition,task_numCorrect,taskInput_confidence,taskInput_a,taskInput_b,spatialAbility_score,numeracy_score,age,gender,education,familiar,trained,time_diff_task_solution,time_diff_spatial-part1,time_diff_spatial-part2,taskInput_explanation
hrfhj2ns,structured,2,5,20,4,3.75,5,27,male,graduate school,no,no,54894,139969,60971," I just added together total number of people testing positive and it clearly states in the first part ""4 will receive a positive test result"" out of the 6 people who actually have it. "
hrfiwavd,structured,2,5,20,4,20,5,20,male,college,yes,yes,20170,128376,136604," The answer was provided in the 2nd part of the material, but I double checked by adding up the numbers in the 1st part"
hrfi63iu,structured,2,5,20,4,10.25,5,20,male,high school,no,no,15125,161428,181101,It says so directly above.
hrfe37l9,structured,2,5,20,4,15.5,5,29,male,college,yes,no,22586,181177,181185, The example above told the answers.  Also the information says 16 will have false positives and 4 will have true postives.  16+ 4 = 20.
hrfi3cax,structured,1,3,20,2,-2.5,4,24,female,graduate school,no,no,41485,66437,33930,I used the logic from the example above. 
hsm5vnuj,structured,2,3,20,4,17.5,5,38,female,high school,yes,no,25730,176350,146679,I matched it to the info given above
hsm8c66u,structured,2,4,20,4,14.75,4,49,male,college,yes,no,24984,181001,180997," One in five people tested positive in the example.  If it is the same population, the assumptions hold. 4 of the 6 who are infected test positive, and 16 of 94 healthy people test positive. 4 + 16 = 20"
hsm7z5c9,structured,0,4,82,18,10.25,5,35,male,graduate school,no,yes,130338,181061,165258,i think to compare two options to maintain near reasons to solve this one. i solve this to provide solution.
hsm64odg,structured,2,-,20,4,4,5,18,male,high school,yes,no,12851,181030,75972,"The premise directly tells you that out of 100 , 20 will test positive and 4 will have the disease."
hsm3qqdk,structured,2,5,20,4,12.5,5,25,male,high school,no,no,28713,148081,60427,By adding who got a positive result. 
hsm8ayn2,structured,2,5,20,4,13.75,5,25,male,high school,no,no,15251,181065,181061,"The end explanation does the math for me, so I used those numbers"
hsm6ub4x,structured,2,5,20,4,8.75,5,28,male,college,no,no,23072,152741,104323, the answer is about I just had to read it.
hsm2palk,structured,1,3,20,6,1.25,4,25,female,high school,no,no,1254042,14874,13980,I honestly can't explain in words.
hsm390vt,structured,2,5,20,4,11,5,22,male,college,no,no,33212,181910,181122,"I used the info from the data. With a total of 100 people, it says 6 people actually have the disease and 4 will test positive. It also says that 20 total people will test positive"
hsm1fsvl,structured,0,4,82,18,1.25,5,50,male,college,no,no,23425,106651,187131, its my belief
hsm7uker,structured,2,5,20,4,15.75,5,27,male,college,no,no,39089,181018,181242, I used the information presented above to deduce the answers to the questions.  I simply read the statistics presented to find the solution.
hsm7ywaw,structured,0,3,22,6,5,4,21,male,college,no,no,107656,157310,115992, 
hsm2r8ca,structured,1,3,10,4,6.25,4,29,male,college,no,no,35387,100095,75787, i did my best to figure out the math. I hate numbers
hsm7yq7i,structured,2,5,20,4,11.25,4,26,female,professional school,yes,no,13590,143314,138493,"I compared both scenarios in where 20 people will get a positive result, regardless of having the actual disease. From that 20 who tested positive, only 4 will actually have it."
hsm84few,structured,2,5,20,4,11.25,5,24,male,college,no,no,9849,181029,181017," I gave my answers based solely on the numbers that were presented in the scenario. It clearly stated that out of 100 people tested, 20 would test positive, but only 4 of those 20 would actually have the disease, because the test isn't entirely accurate."
hqzr6gnr,textvis,2,5,20,4,7.75,2,59,female,graduate school,yes,no,9432,126451,152703, Counting the number of people within the outline identified as Test Positive = 20. Of that number 4 have the disease.
hqyktfnh,textvis,0,5,78,94,3,0,29,male,professional school,yes,yes,206947,44623,27444,yes
hqzhj5wg,textvis,1,5,20,80,5,2,27,male,college,no,no,337197,140790,105445,-
hqzycnf8,textvis,1,4,20,6,6.25,4,33,male,high school,yes,yes,225979,181011,181053,There are 20 people in the chart that test positive out of 100. There are 6 people who actually have the disease on the chart out of the 100.
hqzk48k1,textvis,2,5,20,4,5,4,25,male,graduate school,no,no,62777,156841,113407, According to diagram it clearly shows out of 100 sample's there is 20 people get positive and out of these 20 there are 4 people's actually have disease.
hqzgw7xz,textvis,2,3,20,4,5,4,34,unspecified,college,no,no,64384,131678,140243,"I took the 16 out of 94 people will get a positive. And then I added it to the 4 people who will receive a positive out of the six total who have the disease.
There are 4 people out of those who test positive who actually have it."
hqzw65bf,textvis,2,5,20,4,7,4,38,male,graduate school,yes,no,45571,181031,181022,4 positives and 16 negatives based on test results equals 20 positive results
hqzvt86b,textvis,2,5,20,4,0.5,4,35,female,college,no,no,33097,128894,140064, noted from the diagram
hqzwh2ap,textvis,2,5,20,4,10.75,4,49,female,college,no,no,65288,181104,181085," the circled area of 'tested positive' is 20. of those 20, four are shaded, who have the disease"
hqzofxav,textvis,1,2,20,5,8.75,2,50,female,high school,no,no,62496,125544,85338,Just worked on numbers in my head to give my best educated guess.
hqzhju1n,textvis,1,4,4,4,-1.25,4,26,male,college,no,no,94838,142544,118133, In the Scenario it is stated like that.so i concluded that answers.
hqz8nemr,textvis,2,4,20,4,18.75,5,35,female,college,no,no,20286,152882,177348,"The circle ""test positive"" encompasses the answer to part a).
The overlap between ""have disease"" and ""test positive"" is the answer to part b)."
hqzxap04,textvis,2,5,20,4,8.75,5,56,male,professional school,no,no,65063,181000,181002, The positives are encircled and the true positives are shaded within the circle.
hr006w3g,textvis,2,5,20,4,11,3,25,female,professional school,no,no,83193,181001,180970, Derived by using picture and logically.
hqzxkfzk,textvis,2,5,20,4,12.5,5,24,male,high school,no,no,31631,138828,128683,Add 4 who have disease and test positive to 16 who do not have disease and test positive
hqzrrfp4,textvis,2,4,20,4,9,4,39,female,high school,no,no,178274,181338,181343," I counted the number of people identified as testing positive (20), and I counted the number of people who actually have the disease (4)."
hqzj36ot,textvis,2,5,20,4,5.25,6,21,female,high school,no,no,40992,177205,127434," I counted the number of people within the ""test positive"" box. Then I counted the number of people within that box that are marked as having the disease."
hqzi0tgj,textvis,1,5,20,6,6.75,4,60,male,high school,no,no,58073,181462,181192, 4+16=20
hqzyz0pv,textvis,0,5,4,6,7.5,3,30,male,college,no,no,71377,164502,104596, 
hqzxzqan,textvis,0,4,30,20,-1,2,26,male,professional school,yes,yes,37804,104020,80616,-
hr00vphm,textvis,2,5,20,4,1.25,4,23,male,college,no,no,28160,47368,22217, I derived my answers by looking at the diagram.
hqziym3b,textvis,2,5,20,4,5,4,40,male,college,no,no,16368,154950,64575,"I think I am correct because the figures of 20, after adding up and 4 were very clearly spelt out there."
hqzyxykt,textvis,2,5,20,4,9.25,3,52,female,college,no,no,98059,131876,91314,Had to add the 4 who tested positive from the ones who have the disease and the 16 who tested positive who don't have it to get the total people who tested positive since the question is base on 100 people.      
hqzu2mb8,textvis,2,5,20,4,3.75,3,62,male,graduate school,yes,no,45105,181000,181051," It has already explained in the narration.And also clearly illustrated in the diagram.Out of the 100 people tested 20 will show positive.And out this 20,only 4 have disease.And out of 80 tested negative, 2 are actually positive. Hence the answers."
hqzvfjei,textvis,0,5,80,20,13.75,5,28,male,college,yes,no,22074,126438,103265,Multiplication 
hqzj1exd,textvis,0,3,4,2,-1.25,1,35,male,postdoctoral,no,no,40078,157631,83077, From the given scenario
hqzypfzv,textvis,2,5,20,4,10,4,21,male,graduate school,no,no,43384,172809,121186, The answer can be figured out from the image given above. There are about 100 people taking the total number of positive tests and confirmed people are given. All we need to do is just count them.
hqzxgjd4,textvis,1,3,16,4,-2.5,2,28,male,high school,no,no,32508,38047,52322,uncertain
hqzttr64,textvis,1,5,20,6,2.5,4,51,female,high school,yes,no,33807,76220,60282," According to the explanation, of the 6 who have the disease, 4 test positive.  In addition, out of the 94 left, an additional 16 will test positive.  4 +16 = 20."
hqzn7rdk,textvis,0,4,33,6,5,3,23,male,professional school,no,no,138631,150428,97893, i guess that the test has 33% error rate
hqztg4ap,textvis,1,1,20,6,1.25,1,21,female,graduate school,no,no,12818,40950,44052, I just thought about it 
hrfhbmtd,textvis,2,5,20,4,14.25,5,25,female,graduate school,yes,yes,54125,181053,181006,"I relied heavily on the chart. Because the chart depicts the same number of people as the question asks about, it was easy to use the visual to figure it out. "
hrfgzmc2,textvis,1,5,20,6,10.5,5,24,male,college,no,no,17030,181001,78923,I just looked at the box picture and counted.
hrffzpb6,textvis,2,5,20,4,13.75,4,23,male,graduate school,yes,yes,11869,135927,181005, from above figure
hrfflxkm,textvis,2,5,20,4,3,2,32,male,high school,no,no,53582,181023,177230, Well 4 people will test positive that are positive and 16 who are not will test positive and 2 people that are positive will test negative. I just went by what I read above
hrfhs4j9,textvis,1,5,20,2,7.5,5,18,male,high school,no,no,23460,181314,66827, It tells you in the scenario bro.
hrfeagsy,textvis,2,5,20,4,6.5,3,23,male,graduate school,yes,yes,57831,181005,181003, from above sketch
hrfggh9p,textvis,2,5,20,4,17,5,23,female,college,yes,yes,51291,181107,181099," The image shows 100 people who got tested, 20 of which received a positive test result, 4 of which were actually positive. Assuming this is a representative sample, repeated trials should get similar results."
hrfgt9b2,textvis,2,5,20,4,0,5,19,female,college,no,no,28332,60674,25592, the people enclosed in the box is the number of people who will test positive. the people who have a shaded background and are ALSO in the box will actually have the disease.
hrfgn7wu,textvis,1,5,18,4,8.75,5,35,male,college,no,no,23791,111672,89482, I used the data given to me. I added up all possible positives.
hrfg88k8,textvis,2,5,20,4,4.5,5,44,male,college,no,no,66311,181339,181146, I used the infographic and counted the appropriate number.
hrfibuh6,textvis,2,5,20,4,6.25,5,18,male,high school,no,no,33816,100521,82588," Out of the 6 who actually have it, four will test positive, plus the 16 healthy people who test positive for it."
hrffq84a,textvis,2,5,20,4,10.25,5,26,male,college,no,no,29002,181002,161172," I looked at the visual representation of the people who have the disease and those who don't. It's clear to me that 2 people will have the disease and not test positive. 4 will test positive and have the disease. Finally, 16 will test positive and won't have the disease. The remaining 78 people will test negative and not have the disease. The picture was a lot easier to interpret than the text."
hrffupx6,textvis,2,4,20,4,13,5,23,male,college,no,no,93515,181927,147642, i just read the given information. It specifically states that 20 people will test positive and out of the ones who test positive 4 people will actually have it.
hrfhg6r1,textvis,0,1,32,64,10,2,27,male,high school,no,no,716277,99704,97204,"I'm not particularly good at math, so I just tried to pull from 100 people and see how many times 6 could go into 100 and figure it out from there. I confused myself along the way, But here's what I got. "
hrfj13rj,textvis,2,5,20,4,9.75,4,52,male,college,yes,no,79969,181143,181105,I read the above paragraph and compared that data to the graphic above. Verified that my understanding matched the graphic and then simply derived my answers based on that.
hrfd6t9s,textvis,2,5,20,4,8.25,4,20,male,high school,yes,yes,478130,181045,181047,"a)
16 out of 94 are positive
Remaining are 6 people.
4 out of 6 test positive.
4+16 = 20.

b)
Actual people with disease are 6. Only 4 are true positive, 2 failed to detect and the rest are false positives."
hrffhy0v,textvis,2,5,20,4,4,6,55,male,high school,yes,no,25485,181034,180990," The diagram is very clear about who tests positive. They are circled. Besides that, the statement said 4 of the people who have the disease plus 16 who do not will test positive. 4 of the 6 who have the disease test positive."
hrfg7w5e,textvis,2,5,20,4,15.75,5,33,male,college,yes,no,38401,167847,181016," I used the visual aid to count how many people were in the ""test positive"" box, including both infected and not-infected. Of those, 4 people actually had the disease, according to the visual aid."
hrfgk95t,textvis,2,5,20,4,8.5,5,31,female,college,yes,no,32001,181092,181078,"Of the 6 who actually have the disease, only 4 will receive a positive result. If you add that to the 16 that test positive but don't have the disease, you get 20 people."
hrfik00t,textvis,2,4,20,4,6.25,6,26,male,college,no,no,190812,167304,152177," The bracket for testing positive has 20 people in the selected area, and out of those 20 who tested positive, 4 had the disease"
hrfiqs6l,textvis,1,3,20,6,3.75,5,30,female,college,no,no,98827,177366,153883, I counted using the visualization above.
hrfhy0ie,textvis,2,4,20,4,14.75,4,26,male,college,no,no,38895,169085,129122,My answers were derived from using the visual aid. The visual aid used a population count of 100 people and since the question was also for 100 people I just assumed that the results would match up.  
hrfirqvl,textvis,2,5,20,4,10,5,19,female,college,yes,yes,15439,137072,140395, I looked at the word problem and added the numbers that were associated to those who tested positive. Then I confirmed it with the visual guide. 
hrfhgshp,textvis,2,5,20,4,10,5,29,female,college,no,yes,196965,181003,152420, I counted the number of people in the rectangle labeled Test Positive and out of those people 4 were darkened meaning they have the disease.
hsm5vb0h,textvis,1,5,16,4,17.5,5,19,female,high school,yes,no,16527,181055,159620, In the visual you can see that there are 16 people testing positive to the disease and only four of those people really had the disease.
hsm7ota0,textvis,2,4,20,4,13.75,5,24,male,graduate school,no,no,14687,124388,90060,"16 plus 4 is 20.
The paragraph said 4 positives will test positive.
"
hsm7f7fv,textvis,1,3,20,6,7.5,5,33,female,high school,yes,no,96383,120586,110662, just added together what the scenario gave me
hsm5ooul,textvis,2,5,20,4,12.5,5,27,male,high school,no,no,36985,97933,68950," Based on the information that I have, 20 people have been tested positive, but only four actually have the disease. These numbers are visually represented."
hsm64n4p,textvis,2,5,20,4,8.75,5,36,male,college,no,no,23086,181039,181010,"I counted how many people there are in the Test Positive circle. Then in that circle I counted how many are shaded gray, or have the disease."
hsm5l53q,textvis,1,5,20,6,13,5,37,male,high school,yes,no,222509,181030,181000," out of 100 people 6 will have it, 4 will show positive and those who don't 16 will show they do. 16 + 4 = 20

"
hqzjbrcj,unstructured,2,5,20,4,7.5,5,35,male,college,no,no,19482,93480,68788, It is clearly stated above
hqzsa8wh,unstructured,2,4,20,4,9,5,47,male,graduate school,yes,no,71587,180999,149627,"Out of the 100 people in the population, 20 people will test positive. Out of these 20 people, 4 will actually have the disease and 16 will not have the disease (i.e., they are perfectly healthy). "
hqzphect,unstructured,2,5,20,4,10,3,34,female,high school,no,no,264213,96736,143106," Because in the scenario it says that out of 100 people in the population 20 people would test positive, but only 4 would actually have the disease."
hqzsm6oq,unstructured,2,5,20,4,18.75,6,26,female,college,no,no,19470,93167,119051," I derived my answer from this quote: ""Another way to think about this is... Out of the 100 people in the population, 20 people will test positive. Out of these 20 people, 4 will actually have the disease"""
hr00e9h3,unstructured,2,5,20,4,12,5,19,male,college,no,no,13269,181011,181025, I simply looked at the information presented. It's basically laid down word for word in the last paragraph.
hqzskord,unstructured,2,5,20,4,11.5,4,47,male,high school,no,no,37035,181017,181008, I read the last paragraph one more time.
hqzkh8si,unstructured,2,4,20,4,13,5,18,male,high school,no,no,69912,165403,181213, The answers were practically handed to me in the scenario.
hqzhb379,unstructured,2,5,20,4,6.25,4,33,female,college,no,no,16320,149375,98156, It was clearly mentioned that 20 people will have positive test results and 4 out of them will actually have the disease.
hqzkadgy,unstructured,2,5,20,4,12.5,4,39,male,graduate school,no,no,22563,149765,70167," it's 16 & 4 which comes to 20 people. also from the 6 tested, only 4 are positive."
hqzo427s,unstructured,1,5,4,4,-3.5,2,56,female,college,no,no,248385,151174,106759," 4 people test positive
 All 4 actually have the disease, including 2 who tested negatively

"
hqzlvfhq,unstructured,2,5,20,4,6.25,4,31,female,graduate school,no,yes,24867,127438,97031, The scenario itself provides the answer for 100 people. It says if 100 people is tested the 20 people will test positive and out of 20 4 will actually have disease and 16 will not have the disease
hqzw1igj,unstructured,2,2,20,4,16.75,5,25,female,college,yes,no,13676,181088,159914,"Without more information to show how accurate the test is, we can only assume that it would provide the same type of results in another population."
hqzi26tf,unstructured,0,4,4,6,-1.25,1,25,male,college,yes,yes,113983,71936,77748, i can solve this because of i had a knowledge in puzzle level games.
hqzi2kii,unstructured,1,4,20,24,2.5,1,27,female,graduate school,yes,no,103852,179738,151639, Its all depends on the permutation as explained in the above
hqzjarif,unstructured,2,5,20,4,11.75,5,26,female,graduate school,yes,yes,22814,157225,124629, The answer was basically given in the prompt since we were dealing with a population of 100 people.
hqzku6l5,unstructured,2,5,20,4,10,4,25,female,college,yes,no,61902,180998,181004,"Out of the 100 people in the population, 20 people will test positive. Out of these 20 people, 4 will actually have the disease and 16 will not have the disease "
hqzhjtzc,unstructured,0,5,6,100,7.5,2,29,male,college,no,yes,22454,85954,49336, i am sure in my answers
hqzp8yy6,unstructured,2,5,20,4,11.75,4,23,male,college,no,no,32345,180999,181016, Out of 100 people 20 will test positive and 4 will actually have it 
hqzsa3fi,unstructured,1,5,20,6,2.5,3,22,male,college,no,no,292429,181422,181045," As per the above scenario, out of 100 people 6 people are directly receiving positive test result. Those 94 people that do not have disease, out of these 16 are receiving positive test result. So total of 20 are receiving positive test result. We can conclude from the last two paragraphs that 6 people are actually having the disease.   "
hqzk8shz,unstructured,0,2,4,3,13.75,6,28,male,graduate school,no,no,6552,96554,88524,-
hqzp9cjc,unstructured,0,5,16,78,1.25,1,21,male,college,no,no,25757,55879,42210, from the article read above 
hqzpmv94,unstructured,2,5,20,4,9,5,34,male,college,no,no,12539,118013,145085, I read the paragraph and it tells you the answer in the last sentence
hqzjcdjp,unstructured,2,5,20,4,14,4,32,male,professional school,no,no,745682,181002,121830," Well it quite clear here; 
1. Out of the 100 people in the population, 20 people will test positive. 

2.  Out of these 20 people, 4 will actually have the disease"
hqzsnezq,unstructured,2,5,20,4,11.25,4,40,male,college,no,no,18503,116848,94122,I used the data provided in the scenario 
hqzwc0wp,unstructured,0,5,4,6,1.25,1,24,male,graduate school,no,no,40111,132391,29434, yes iam beliving my answers are true
hqzjp1rv,unstructured,2,4,20,4,5.75,6,26,female,graduate school,no,no,21133,181009,181016,I derived my answers straight from the text.
hqzl6964,unstructured,2,5,20,4,11.25,5,20,female,high school,no,no,11658,127434,127030, I got my answer from the above information when I had looked at it. It said that only four people will have the disease if they tested positive in the first place.
hr001xzw,unstructured,2,5,20,4,5,5,27,male,graduate school,no,no,18791,109357,86799, I derived the information from the article above.
hrffqrux,unstructured,2,5,20,4,16.75,5,27,male,high school,no,no,15075,130471,147014,The answers are right there in the text.
hrfihdbo,unstructured,2,5,20,4,12.5,5,38,female,high school,no,no,22681,176435,115597, I got them from reading the passage
hrfichyb,unstructured,2,4,20,4,12.5,5,19,male,college,yes,yes,42968,147422,134341,"4/6 sick people positive
16/100 healthy people positive
16+4=20"
hrfirm3u,unstructured,2,5,20,4,12.5,5,31,male,college,no,no,31628,181001,181001, Paragraph 3 clearly states this information.
hrffc9h2,unstructured,1,4,16,4,6.25,3,25,male,college,no,no,119325,96066,59715," It took me a minute but it says 6 people have the disease, but 2 of them tested in the negative so they're moot.  It says 16 receive a positive result so that's the answer to A, and the 4 of the 6 actually have it are in that positive so there we go."
hrfhe3eh,unstructured,0,1,4,2,5,4,30,male,college,no,no,70832,92805,67082,because I am kinda confused
hrff9nzh,unstructured,2,5,20,4,11.75,5,25,male,college,yes,no,11607,181025,143406,"It's explicitly explained right there, I didn't even have to do math."
hrfda1fj,unstructured,0,5,94,6,12.5,2,25,male,graduate school,no,no,77439,142056,155849," It is clear that out of 100 6 infected and 94 ade healthy, so that i answered as this."
hrffk92p,unstructured,1,5,20,6,12.5,5,33,male,PhD,no,no,12934,153705,121671, It is written in the scenario above where the question is. 
hrfg7xjn,unstructured,2,5,20,4,8,6,31,female,college,no,yes,34742,181015,181020, The scenario described said that 20 people will test positive out of 100 and that 4 will actually have the disease.
hrfiehgq,unstructured,2,5,20,4,7.5,5,54,female,college,no,no,17566,155995,83132," Information provided: Out of the 100 people in the population, 20 people will test positive. Out of these 20 people, 4 will actually have the disease and 16 will not have the disease (i.e., they are perfectly healthy)."
hrfggz6u,unstructured,2,4,20,4,12,5,25,female,high school,no,no,10072,181009,180982,"Literally just read it and was given this information? I figure I'm not at 5, just because it's possible the question is asking about a different group of 100."
hrfipzqt,unstructured,2,5,20,4,13.25,5,22,female,college,no,no,25778,180979,181006, I derived my answers from the explicitly given information.
hrfhvrg3,unstructured,2,4,20,4,15,5,29,male,college,no,-,28657,180059,147268," I used the information provide, but maybe the actual results would vary. "
hrffmvqe,unstructured,2,4,20,4,12.75,5,19,male,college,yes,yes,78432,181121,181106," For part A, only 4 people out of the 6 who have the disease test positive, and 16 out of the 94 who do not have the disease test positive. Then you add the 4 and the 16 to get 20 testing positive. For part B, only 4 people tested positive have the disease."
hrfexkl2,unstructured,2,5,20,4,5,5,57,male,college,no,no,57144,181157,181123," I just duplicated the experiment aforementioned "" Another way to think about this is..."" which seemed to describe an identical experiment.  "
hrfhhrae,unstructured,2,5,20,4,15.25,5,21,male,high school,yes,no,33147,161222,178199,It tells me above.
hrfhg8kq,unstructured,0,5,4,6,1.5,4,24,female,college,no,no,35739,124662,88495,I derived the answer from the scenario above. 
hrfh0w4i,unstructured,1,3,20,8,5,4,43,male,high school,no,no,335447,132621,103278,"The first paragraph says 20 will test positive and 6 will have the disease. those who test negative 2 will have the disease . So , the answer would be 8"
hrfi4cm1,unstructured,2,5,20,4,7.5,4,34,male,high school,yes,no,44373,179725,174890, The info given stated that 20% will test positive and only 4 will actually have it.
hrfih8ep,unstructured,0,5,16,6,3.75,5,41,male,high school,no,no,51071,164514,46489, i looked at the paragraphs above.
hrffd2ja,unstructured,2,5,20,4,12.25,5,32,male,college,no,no,90614,181000,180958,"Unless I'm confused, the information in the scenario provided this information.  6 people have the disease, 4 will test positive (b).  16 who don't have the disease will test positive, 4 who do will test positive (a)."
hrfitsk2,unstructured,2,5,20,4,0,4,33,male,college,no,no,24520,164365,161726, By reading the scenario provided.
hrfeca3r,unstructured,2,1,20,4,11.5,5,22,female,graduate school,no,no,48459,181001,163047," In the previous scenario, the 80% of people would test negative, than the simply conclusion is that 20% would test positive. Out of 20% positive, the scenario said that 20% would actually will have the disease. Based on that statistic, I calculated the answers for the question. "
hrfiw4pl,unstructured,2,4,20,4,10,3,23,male,high school,no,no,44460,108059,64997,-
hrffn8q9,unstructured,2,5,20,4,10.5,5,30,female,graduate school,no,no,23749,159389,106956,I came to the conclusion based on the information above that clearly states the outcome based on 100 people.
hrff18z5,unstructured,2,5,20,4,11.25,4,23,male,graduate school,yes,yes,34013,181007,181002, its already given in the scenario
hrfff98b,unstructured,2,5,20,4,12,4,23,male,graduate school,yes,yes,22457,181006,180999, its given in the senario
hrffqpev,unstructured,2,5,20,4,10,6,29,female,PhD,no,no,29489,125648,88501, I basically used reasoning skills and looked at the wording carefully in the question. Reading comprehension.
hrfisz1g,unstructured,2,5,20,4,9.25,6,24,female,college,yes,yes,19339,181024,181010, I added together the 4 people who will have the disease that actually tested positive and the 16 of 94 who will test positive although they are actually negative.
hrfgoa8c,unstructured,2,5,20,4,14.75,5,22,male,college,yes,yes,20353,181001,181001, Answer is given in the example.
hrff9mh2,unstructured,2,4,20,4,12.5,5,31,male,high school,no,no,59239,181012,181015," Out of 100 people 6 will actually have the disease, but only 4 of those 6 people will have a positive test result, since the testing is not perfect."
hrffid9t,unstructured,2,5,20,4,13.25,5,55,female,college,no,no,34354,181119,181090,"Well the 1st part was given to us in the last paragraph, but it could be figured out. Of the 6 who had disease 4 test positive, out of those who do not have it, 16 will test positive - 4 + 16 = 20. Out of the 20, the 4 have the disease."
hrfhzbps,unstructured,2,5,20,4,11.25,5,27,male,college,no,no,61809,148700,55005, The answers are essentially given in the 3rd paragraph.
hqzvgl9m,vis_only,1,3,20,5,-2.5,5,45,female,college,no,no,46812,108237,85372," Looking at the visual data above, I tried to break down the amount of people who would get the disease. I  used the chart and my own logic."
hqzupjlx,vis_only,2,5,20,4,11,3,24,female,college,yes,yes,7760,181090,181114, The people who will test positive are in the outline area because that is where the arrow is pointing to. There are 20 people in the outlined area. Everyone in that area will test positive. Those who have the disease have a gray shading behind them. The number of people who have a gray shading and that are in the outlined area are 4. 
hqzi2vz6,vis_only,2,5,20,4,9.75,5,35,male,graduate school,no,no,116094,181265,166359,I just wrote what is displayed in the visual presentation. 
hqzjvqz7,vis_only,2,5,20,4,9,5,43,male,professional school,no,no,31222,181125,181070,"TOTAL POPULATION IS 100
AROUND THAT 20 TAKEN AS POSITIVE
TOTAL DISEASE IS 6 OUT OF 100
TOTAL DISEASE IS 4 OUT OF 20 POSITIVE"
hqzs2icq,vis_only,2,4,20,4,13.75,5,23,female,high school,no,no,35492,105901,98262,I gained my answers by looking at the research.
hr01lhuv,vis_only,2,5,20,4,13,5,27,female,graduate school,no,no,86260,180993,151525," The image above depicts the 100 people tested, with the light gray depicting those without the disease and the dark grey depicting those with the disease. The smaller rectangle shows the 20 people testing positive, with 4 of those people in the dark grey representing those with the disease. "
hr001s8l,vis_only,2,4,20,4,9.5,4,27,male,graduate school,no,no,49250,181030,181028, Above given example tells that out of 100 persons 4 have disease and remaining 16 also found test positives so total 20 positive but actually only 4 have the disease
hqznkky1,vis_only,2,4,20,4,5,4,26,male,professional school,no,yes,99596,172988,118713,I used the method of percentages to calculate the results. 
hqzh0lic,vis_only,2,4,20,4,6.25,5,56,male,college,no,no,75064,180973,172955, Counted the 16 people in rectangular section and added the four who have disease. I assumed those w/disease would test positive.
hqznecjp,vis_only,2,5,20,4,5.75,1,53,female,college,no,no,113155,181037,108570, Took the information from the graph.
hqzp33sz,vis_only,2,4,20,4,13.25,4,22,female,high school,no,no,42074,181002,181005," I counted the image above. 20/100 test positive, and 4 of those 20 have the disease."
hqzhkos1,vis_only,2,4,20,4,12,4,41,female,high school,no,no,43335,181001,181002," I looked and the chart and counted.  I'm making the assumption ( and yes, I know how that works out sometimes) that the entire box was tested, even though it doesn't specifically say that."
hqzqj9vd,vis_only,2,5,20,4,2.5,4,63,male,high school,no,no,34948,181006,180996, The circled part of the graph is the pertinent section relating to the question; 20 are is the circle of which 4 have the disease.
hqzugyml,vis_only,2,5,20,4,16.25,5,27,male,college,no,no,48681,111725,105422, The chart above.
hqzvuqgr,vis_only,1,5,20,5,1.75,3,25,male,college,no,no,39669,181610,181793, 
hqzto0o7,vis_only,0,5,5,1,6.5,4,22,male,graduate school,no,no,501295,98050,115109,"the sample population =100
x/100 = population is tested
y = number of people have tested positive
x-y = positive patient"
hqzulkcl,vis_only,1,1,20,5,0,5,30,male,college,no,no,156234,132441,172946," I just took a guess based on what I see in the picture above, as it is mentioned in the scenario that the test is not perfect so there isn't actual way of knowing for sure that how many people are really infected."
hqznducw,vis_only,1,5,22,4,6.25,4,50,male,college,no,no,32767,121970,115578, dark objects grouped with ellipsoid = desired match
hqzvs9or,vis_only,2,5,20,4,5.25,6,26,female,professional school,yes,yes,60944,173075,117758," There are 100 people in the model, so I just counted the number marked."
hqzsdk5n,vis_only,2,5,20,4,11.75,4,22,female,college,yes,no,49896,151031,91661," The visual aid clearly shows how many people have been tested, and how many people actually have the disease. "
hqzxjaqu,vis_only,2,5,20,4,0.75,6,30,male,college,no,no,33963,163537,180999," I counted them manually. I know that the rectangle is 20x5. So if I count each person individually, I have my answer."
hqzinj9p,vis_only,1,5,20,6,11.75,4,25,male,graduate school,no,no,55302,181014,149156, From the information given above we can judge that the positive test results will be 20 and the actual people having the disease will be 6
hqzy599n,vis_only,2,5,20,4,13.25,4,33,male,PhD,yes,no,36975,181121,181109, As per the picture I counted the number of people who will test positive & who will actually have the disease. 
hqzu1esm,vis_only,1,5,16,4,2.75,3,31,male,college,no,no,104765,177593,154627,I believed that I delivered my answer correctly.
hqzxhzfx,vis_only,1,3,20,6,2.5,2,44,female,graduate school,no,no,23887,181000,181001, As per chart I derived my answer.
hqzmy0uy,vis_only,2,4,20,4,3.25,4,28,female,college,no,no,53783,183196,192726," The chart shows a population of 100. Out of that 100, 20 test positive. Out of those that test positive, 4 actually have the disease."
hqzuyh77,vis_only,1,4,20,6,6.5,4,28,male,graduate school,no,no,70968,106813,82365, I counted the no of people marked under the test positive box and the people who are highlighted in grey for the people who have disease.
hqzzwatc,vis_only,1,4,10,4,8,5,25,male,high school,no,no,58803,134814,99388, I used the graph above to find an answer
hqziyrxm,vis_only,1,3,16,4,3.75,1,35,female,high school,no,no,74172,102537,41724, I used the chart above to come up with my answers.
hqzvv61f,vis_only,1,4,20,6,-2,3,59,female,college,no,no,642106,180995,73969, Looking at the diagram out of 100 people tested an arrow labeled test positive is pointing to a circle of people that totals 20. Of those who tested positive who actually have the disease the diagram represents these people with an arrow labeled have disease and those individuals are darkened within the diagram totaling 6.   
